Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight (int); ContainerArea (int); Coverage (%);
9592870;1962186346;1971779216;10000;4179;54;225666;99;
7189319;1968097248;1975286567;10000;4698;48;225504;99;
10249461;1969389888;1979639349;10000;5650;40;226000;99;
10894595;1949184101;1960078696;10000;4040;56;226240;99;
9879289;1973854471;1983733760;10000;5125;44;225500;99;
10458053;1955075645;1965533698;10000;4527;50;226350;99;
11640866;1968788605;1980429471;10000;4525;50;226250;99;
8213712;1977822464;1986036176;10000;4700;48;225600;99;
9847290;2027743155;2037590445;10000;3764;60;225840;99;
9379932;2068466828;2077846760;10000;3895;58;225910;99;
7211047;1960053017;1967264064;10000;3759;60;225540;99;
10136474;1905017867;1915154341;10000;4530;50;226500;99;
8995142;1958972921;1967968063;10000;4695;48;225360;99;
10650843;1959522450;1970173293;10000;3429;66;226314;99;
9364130;1911938939;1921303069;10000;3638;62;225556;99;
7452035;1966633942;1974085977;10000;3897;58;226026;99;
9563636;1933169910;1942733546;10000;3639;62;225618;99;
7403442;1960373412;1967776854;10000;3428;66;226248;99;
11294397;1965620216;1976914613;10000;5367;42;225414;99;
7517220;1972435412;1979952632;10000;5651;40;226040;99;
9889561;1962752468;1972642029;10000;3896;58;225968;99;
7214603;2008285219;2015499822;10000;4937;46;227102;99;
9807388;1942199028;1952006416;10000;2094;108;226152;99;
9921956;1957804330;1967726286;10000;4176;54;225504;99;
10373510;1959914746;1970288256;10000;3759;60;225540;99;
10182301;1953358314;1963540615;10000;4697;48;225456;99;
7298356;1972372203;1979670559;10000;4937;46;227102;99;
10620423;1939217108;1949837531;10000;3429;66;226314;99;
7416479;1963232467;1970648946;10000;3759;60;225540;99;
10034943;1928422462;1938457405;10000;3762;60;225720;99;
7497071;1996717044;2004214115;10000;3896;58;225968;99;
10520868;1893829345;1904350213;10000;3640;62;225680;99;
7222109;1935496819;1942718928;10000;3760;60;225600;99;
10228128;1960830102;1971058230;10000;3760;60;225600;99;
9895092;1976807947;1986703039;10000;5933;38;225454;99;
10236425;1963856269;1974092694;10000;3639;62;225618;99;
9969363;1955817174;1965786537;10000;4525;50;226250;99;
7279393;1971347019;1978626412;10000;5371;42;225582;99;
11023386;1934988770;1946012156;10000;3761;60;225660;99;
7286504;1952644044;1959930548;10000;4179;54;225666;99;
9618549;1943778086;1953396635;10000;3761;60;225660;99;
7687491;1957143393;1964830884;10000;3758;60;225480;99;
10428029;1935745707;1946173736;10000;4180;54;225720;99;
10154646;1964523922;1974678568;10000;4042;56;226352;99;
10270795;1951424886;1961695681;10000;3641;62;225742;99;
10296473;1943597149;1953893622;10000;2056;110;226160;99;
7654306;1936412965;1944067271;10000;2982;76;226632;99;
9845709;1974782470;1984628179;10000;5369;42;225498;99;
9140131;1944324850;1953464981;10000;4174;54;225396;99;
7213022;1954130264;1961343286;10000;4041;56;226296;99;
10841658;1913047875;1923889533;10000;4175;54;225450;99;
7208677;1966571918;1973780595;10000;4180;54;225720;99;
