Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight int); ContainerArea (int); Coverage (%);
10793460;2174828297;2185621757;10000;511;450;229950;97;
10699436;2146096304;2156795740;10000;510;450;229500;98;
8574798;2225819998;2234394796;10000;509;450;229050;98;
11019435;2229260980;2240280415;10000;508;450;228600;98;
11090546;2221446674;2232537220;10000;511;450;229950;97;
8757711;2210635436;2219393147;10000;508;450;228600;98;
11143089;2225737035;2236880124;10000;511;450;229950;97;
10039289;2143615716;2153655005;10000;512;450;230400;97;
8487094;2261245509;2269732603;10000;510;450;229500;98;
11110694;2180792532;2191903226;10000;508;450;228600;98;
8184478;2121137538;2129322016;10000;513;450;230850;97;
10976373;2168911864;2179888237;10000;511;450;229950;97;
9895882;2186264916;2196160798;10000;512;450;230400;97;
10700621;2185275683;2195976304;10000;510;450;229500;98;
29216337;2093811568;2123027905;10000;511;450;229950;97;
10003733;2150895504;2160899237;10000;509;450;229050;98;
10823485;2168425149;2179248634;10000;510;450;229500;98;
10416572;2255856087;2266272659;10000;511;450;229950;97;
10880374;2149899160;2160779534;10000;508;450;228600;98;
11107138;2200816196;2211923334;10000;511;450;229950;97;
8080577;2188715874;2196796451;10000;510;450;229500;98;
10738942;2223791360;2234530302;10000;510;450;229500;98;
8027639;2341878238;2349905877;10000;512;450;230400;97;
11147830;2105596631;2116744461;10000;509;450;229050;98;
9068624;2148535410;2157604034;10000;510;450;229500;98;
10124227;2190597549;2200721776;10000;511;450;229950;97;
8164330;2211745952;2219910282;10000;511;450;229950;97;
11083434;2190470340;2201553774;10000;509;450;229050;98;
10551683;2220085293;2230636976;10000;510;450;229500;98;
10835732;2253127796;2263963528;10000;510;450;229500;98;
10523634;2159151883;2169675517;10000;509;450;229050;98;
8406502;2130502458;2138908960;10000;512;450;230400;97;
9970944;2197481486;2207452430;10000;509;450;229050;98;
8783785;2250792591;2259576376;10000;511;450;229950;97;
10864176;2129882607;2140746783;10000;510;450;229500;98;
